street,city,country,longitude,latitude
Semsettin Gunaltay Cad. NO.108,Istanbul,TR,29.09,40.97
高新区,成都市,CN,104.07,30.55
Jean Jaures 1015,Buenos Aires,AR,-58.41,-34.6
737 Broadway Avenue,Saskatoon,CA,-106.66,52.12
"Av. Kennedy 9001, Local 3225",Santiago,CL,-70.55,-33.39
425 Simcoe Street,Victoria,CA,-123.38,48.42
"653-1, Gwangsa-dong",Yangju-si,KR,127.08,37.79
2201 Dundas Street West,Toronto,CA,-79.45,43.65
396 - 11th Avenue SW,Calgary,CA,-114.07,51.04
37-39 St. John's Road,London,GB,-0.17,51.46
7450 120 St,Surrey,CA,-122.89,49.14
路南区,唐山市,CN,118.18,39.63
324 8th Avenue SW,Calgary,CA,-114.07,51.05
Paseo de la Castellana 70,Madrid,ES,-3.69,40.44
435 Stone Road W,Guelph,CA,-80.24,43.52
961 James Mowatt Tr,Edmonton,CA,-113.51,53.42
松江区,上海市,CN,121.2,31.02
1 Sennichimae Chuo-ku,Osaka,JP,135.5,34.67
"No.14, Shaochuan St.",Kaohsiung City,TW,120.27,22.62
"Brailsford Way, Chilwell",Nottingham,GB,-1.24,52.9
龙岗区,深圳市,CN,114.24,22.72
5685 Falls Ave,Niagara Falls,CA,-79.07,43.09
"Rue de la Loi, Rond-point Robert Schuman",Brussels,BE,4.38,50.84
上海浦东,上海市,CN,121.81,31.15
"19-1, Songdo-dong, Yeonsu-gu",Incheon,KR,126.64,37.4
4900 Molly Banister Drive,Red Deer,CA,-113.81,52.24
栖霞区,南京市,CN,118.89,32.05
"4, 4/1 & 4/2, Shop A305, 3rd Fl Zone A",Pathumwan,TH,100.54,13.75
125 Davie Street,Vancouver,CA,-123.12,49.27
1721 Columbia Ave,Castlegar,CA,-117.66,49.3
Unit 4,Cambridge,GB,0.12,52.21
Tsarigradsko Blvd,Sofia,BG,23.43,42.64
Ekinanbari Koyu Bodrum Milas Havalimani,Mugla,TR,27.66,37.25
Liberty Shopping Centre,Romford,GB,0.18,51.58
1-1 Suehirocho,Kashiwa,JP,139.97,35.86
6700 Fallsview Blvd,Niagara Falls,CA,-79.08,43.08
丰台区,北京市,CN,116.32,39.9
卢湾区,上海市,CN,121.46,31.22
"Shop 5, Brixton Underground Station",London,GB,-0.11,51.46
998-27 Negoya,Numazu,JP,138.81,35.15
"No. 2, Fusing Rd., Fongyuan Dist.",Taichung City,TW,120.72,24.25
"432,  Waegwan-eup, Chilgok-gun",Seokjeon,KR,128.67,35.89
Mohamed V International Airport,Casablanca,MA,-7.58,33.37
1601 Bayshore Dr,Vancouver,CA,-123.13,49.29
"1767 Jung-dong, Haeundae-gu",Busan,KR,129.17,35.17
靖江中路122号,临海市,CN,121.14,28.85
Timura Frunze St 11,Moscow,RU,37.59,55.73
5251 Dundas Street West,Toronto,CA,-79.54,43.64
海淀区,北京市,CN,116.32,39.97
Universite Caddesi Yorulmaz Sokak,Tepebasi,TR,30.51,39.79
3 Temasek Boulevard,Singapore,SG,103.86,1.29
TBD,RIYADH,SA,46.62,24.68
"Svobody street, 46a",Yaroslavl,RU,39.87,57.63
昆都仑区,包头市,CN,109.82,40.66
道里区,哈尔滨,CN,126.62,45.77
1 King's College Circle,Toronto,CA,-79.4,43.66
5-1-1 Kameido,Koto-ku,JP,139.83,35.7
Autopista General Canas,Alajuela,CR,-84.12,9.6
"468 Seongnae-dong,Gangdong-gu",Seoul,KR,127.13,37.53
郑州市,郑州市,CN,113.67,34.76
"1339-1, Sangyeok-dong, Buk-gu",Daegu,KR,128.61,35.89
"888 Outlet Village Korat,",Pakchong,TH,101.39,14.66
Václavské náměstí 57,Praha,CZ,14.43,50.08
975 Boul. Romeo Vachon,Dorval,CA,-73.75,45.46
2100 Market Street SE,Airdrie,CA,-113.99,51.27
Al Salam Street,Abu Dhabi,AE,54.38,24.48
"Shop 2077, Upper Level, Waterfall City",Midrand,ZA,28.11,-26.02
"632-3, Hyoja-dong",Choonchun,KR,127.75,37.87
江苏省南京市,南京市,CN,118.73,31.99
2-19-12 Takashima Nishi-ku,Yokohama,JP,139.63,35.46
59-7 서울극장 1층,서울,KR,126.99,37.57
"Sec. 3, Chongde Road",Taichung City,TW,120.7,24.18
5-33-8 Shiba,Minato-ku,JP,139.75,35.65
1-20-6 Mizuho,Sakata,JP,139.85,38.9
"JL. Jend Sudriman No. 1, Klandasan Ilir",Balikpapan,ID,116.82,-1.22
"No.6, Aly. 142, Ln. 250, Nanxiang Rd.",Nantou City,TW,120.71,23.9
68 High Street,Staines,GB,-1.48,52.92
229-1,서울,KR,127.05,37.48
崇明县,上海市,CN,121.4,31.62
1-1-3 Nishishinjuku,Shinjuku-ku,JP,139.7,35.69
Jl. Alam Sutera Boulevar Tangerang,Jakarta,ID,106.88,-6.15
浦东新区,上海市,CN,121.6,31.21
A120 Thermal Lane,London,GB,0.25,51.88
Yongdamro,Incheon,KR,126.68,37.42
Verkhnaya Krasnosel'skaya street 3A,Moscow,RU,37.67,55.78
椒江区,台州市,CN,121.43,28.65
"Upper Ground Floor, Century Bhavan",Mumbai,IN,72.82,19.01
"Khaldiya Area, Abu Dhabi Island",Abu Dhabi,AE,54.54,24.51
2-9-13 Tatsuminishi,Okazaki,JP,137.17,34.94
4-2-1 Shiroshita,Hachinohe,JP,141.49,40.52
Landside,Luton,GB,-0.38,51.88
4-18-8 Nerima,Nerima-ku,JP,139.65,35.74
8671 # Road,Richmond,CA,-123.18,49.15
Acibadem Mah Bagimsiz Bolum AnkaraDevlet,Istanbul,TR,29.05,41
广州市越秀区,广州市,CN,113.28,23.14
青浦区,上海市,CN,121.23,31.15
"No. 20, Jhongjheng Road",Taoyuan City,TW,121.31,24.99
Calle Morelli 279,Lima,PE,-77.03,-12.06
苏州市工业园区星湖街,苏州市,CN,120.73,31.26
"Bath Spa Station, Platform 1",Bath,GB,-2.36,51.38
3-2-24 Toyosu,Koto-ku,JP,139.79,35.66
8888 University Drive,Burnaby,CA,-122.92,49.28
"812-2, Mia-dong",Seoul,KR,127.02,37.62
"B2  No.313, Sec. 1, Nangang Rd.",Taipei City,TW,121.61,25.05
2-13-1 Narimasu,Itabashi-ku,JP,139.63,35.78
44-5 Doduri,Pyeongtaek,KR,127.01,36.96
1895 Cornwall Ave,Vancouver,CA,-123.15,49.27
175,서울,KR,127.08,37.51
"No.7, Sec.2, Xianmin Blvd",New Taipei City,TW,121.46,25.01
"No.118, Sec. 5, Jiaoxi Rd.",Yilan County,TW,121.77,24.83
Wallasey Water front retail park,Wallasey,GB,-3.05,53.44
工业园区嘉瑞巷18号,苏州市,CN,120.72,31.32
450 1st Street SW,Calgary,CA,-114.07,51.05
Gazi Mustafa Kemal Bulv. Kizilay,Ankara,TR,32.85,39.92
2-1-10 Akasaka,Narita,JP,140.29,35.78
Limmatstrasse 5,Zurich,CH,8.54,47.38
"6 Hillview Rise , #01-05",Singapore,SG,103.76,1.36
Tol Cipularang - Jakarta KM 97,Bandung,ID,107.44,-6.67
ul.Ostrobramska 75 c,Warszawa,PL,21.11,52.23
Grand Boulevard BSD City,Banten,ID,106.16,-6.04
历下区,济南市,CN,117.01,36.65
"E-G-15 & E-A-15, Ground Floor",Kuala Lumpur,MY,101.7,3.15
Bryom Street,Liverpool,GB,-2.98,53.41
Av. Tamaulipas No. 3000,Mexico City,MX,-99.28,19.36
金阊区,苏州市,CN,120.6,31.31
250 Queen Street West,Toronto,CA,-79.39,43.65
"Central Had Yai, Karnjanavanit Road",Songkhla,TH,100.48,6.99
3-3-20 Umeda Kita-ku,Osaka,JP,135.49,34.7
"6 Of Octobe, El Horya Square",Cairo,EG,31.35,30.13
7-2-5 Miyashita-dori,Asahikawa,JP,142.36,43.76
"19-1 대한극장 1,2층",서울,KR,127,37.56
2-14-1 Kamikuzuhara Kokuraminami-ku,Kiatakyusyu,JP,130.91,33.84
"Unit 2, The Green Strand Street",Malahide,IE,-6.15,53.45
1-14-13 Matsushima,Naha,JP,127.7,26.22
4-6-1 Sakae Naka-ku,Nagoya,JP,136.91,35.17
1-3-1 Minamisaiwai Nishi-ku,Yokohama,JP,139.62,35.47
Northgate,Darlington,GB,-1.55,54.53
"14-4 Yangjae-dong, Seocho-gu",Seoul,KR,127.04,37.48
19-21 High Street,Pinner,GB,-0.39,51.58
"No. 201, Sec. 4, Zhongxiao E Rd.",Taipei City,TW,121.55,25.04
4520 Albert Street,Regina,CA,-104.62,50.41
730-742 George Street,Sydney,AU,151.21,-33.88
"639-7, Shinsa-Dong, Gangnam-Gu",Seoul,KR,127.04,37.53
125 Riocan Ave,Ottawa,CA,-75.74,45.27
801 6 Street SW,Calgary,CA,-114.08,51.05
2020 Sherwood Drive,Edmonton,CA,-113.29,53.53
5-374-3 Kitano 6-jo Kiyota-ku,Sapporo,JP,141.45,43.02
工业园区唯华路5号-5号楼101室,苏州市,CN,120.69,31.36
2-2-8 Chuo,Ebina,JP,139.39,35.45
Shipai Road,Taipei City,TW,121.48,25.06
1126/1 New Petchburi Rd,Bangkok,TH,100.55,13.75
35 Shinanomachi,Shinjuku-ku,JP,139.72,35.68
南明区,贵阳,CN,106.72,26.58
Avenue Mariano Escobedo y Lago Alberto,Mexico City,MX,-99.19,19.44
江东区,宁波市,CN,121.59,29.87
朝阳区朝阳公园路6号,北京市,CN,116.47,39.95
Maure 1818,Buenos Aires,AR,-58.44,-34.57
Westfield Garden City,Upper Mt Gravatt,AU,153.09,-27.54
新浦区,连云港,CN,119.19,34.6
Lote 0001 Mza F Blvd Agua Caliente 10387,Tijuana,MX,-117.01,32.51
Buyukdere Cad. Metrocity Alisveris,Istanbul,TR,29.01,41.08
65 Queen Street West,Toronto,CA,-79.38,43.65
市南区,青岛市,CN,120.38,36.06
吴中区,苏州市,CN,120.55,31.26
2-40 Tomisuharacho,Yokkaichi,JP,136.66,35.01
"115 Daesin-Dong, Seodaemun-Gu",Seoul,KR,126.95,37.57
"400-1 Sinpyeong-dong, 1F",Gyeongsangbuk-do,KR,129.17,35.5
"Shop S10-12, Luk Yeung Galleria, 2/F",N.T.,CN,114.12,22.37
"Av. Victor Raúl Haya de la Torre 4522,",Chimbote,PE,-77.05,-12.09
黄浦区,上海市,CN,121.48,31.23
朝阳区,北京市,CN,116.45,39.97
"CC Jockey Plaza, Javier Prado Oeste 4200",Lima,PE,-76.97,-12.09
牡丹江路318号,上海市,CN,121.5,31.38
浙江省温州市,温州市,CN,120.64,28.04
锦江区,成都市,CN,104.06,30.65
1139 9th Avenue SE,Calgary,CA,-114.04,51.04
2 RUE DE I'ECHELLE,PARIS,FR,2.33,48.86
"Rua Maestro Cardim, 769",Sao Paulo,BR,-46.64,-23.57
"Jl. Prof Dr. Satrio Kav 3,5 Akret",Jakarta,ID,106.82,-6.22
5-8-13 Daizawa,Setagaya-ku,JP,139.67,35.66
1550 University Drive W,Lethbridge,CA,-112.89,49.69
97-4 Garak-dong Songpa-gu,Seoul,KR,127.12,37.49
"No. 52, Sec. 1, Nanjing E. Rd, Zhongshan",Taipei City,TW,121.53,25.05
杨浦区,上海市,CN,121.51,31.26
28 Kita 8-jo  Nishi 14-chome Chuo-ku,Sapporo,JP,141.33,43.07
Neubaugasse 4,Wien,AT,16.35,48.2
闽江东路9号星光天地购物中心1楼06单元,苏州市,CN,120.77,31.67
Weston Avenue,West Thurrock,GB,0.27,51.49
Jumeirah,Dubai,AE,55.23,25.17
Col. Las Compuertas Del Campestre,Celaya,MX,-100.78,20.53
"902-13, Ssangchon-dong, Seo-gu",Gwangju,KR,126.86,35.14
"Avenida Santa Fe 1997, esquina Ayacucho",Buenos Aires,AR,-58.4,-34.6
Ave. Roosevelt 525 Local 126,San Juan,PR,-66.07,18.42
"Open Space, OS3, 2/F, Yuen Long Plaza,",Yuen Long,CN,114.02,22.44
47-49 Great Darkgate Street,Ceredigion,GB,-4.09,52.41
1-3-2 Yurinokidori Okubocho,Akashi,JP,134.94,34.68
"Av. Americo Vespucio 1501, Local BA-104",Santiago,CL,-70.72,-33.52
Osmaniye Mah. Acibadem Cad.,Istanbul,TR,29.04,41
"No.350, Sec.2, Songzhu Rd.",Taichung City,TW,120.68,24.19
"1/3, Sivadon Building",Bangluck,TH,100.53,13.73
4030 Montrose Road,Niagara Falls,CA,-79.12,43.11
10355 - 152nd St.,Surrey,CA,-122.8,49.19
盱城镇金源北路12号,淮安市,CN,118.52,33
8330 82nd Avenue NW,Edmonton,CA,-113.46,53.52
272 Soi Chula 22,Bangkok,TH,100.52,13.74
Grand Place de Bruxelles 4,Brussels,BE,4.36,50.84
"No.202, Shuntian Rd",Taichung City,TW,120.62,24.35
Blvd. Juan Alonso de Torres #2002,Leon,MX,-101.7,21.15
"Reel Cinema, Dubai Mall, Second Floor",Dubai,AE,55.6,24.78
Honduras 5550 Ciudad de Buenos Aires,Buenos Aires,AR,-58.44,-34.58
4-15-1 Honcho,Toda,JP,139.68,35.81
3737 Major Mackenzie Drive,Vaughan,CA,-79.56,43.84
Unit 1 Crawley Leisure Park,Crawley,GB,-0.18,51.12
3359 Mississauga Rd N,Mississauga,CA,-79.66,43.55
150 Jean-Talon East,Montreal,CA,-73.62,45.54
720 Granville St,Vancouver,CA,-123.12,49.28
"No.11, Baoan St.",Taipei City,TW,121.51,25.06
2-1 Senribanpakukoen,Suita,JP,135.54,34.81
城厢区,莆田市,CN,119,25.42
3-10 Takadamacho Izumi-ku,Sendai,JP,140.89,38.32
浙江省宁波市,宁波市,CN,121.55,29.87
3664 Highway 16,Smithers,CA,-127.19,54.82
"Av.43 Oriente #5, Col Huexotitla",Puebla,MX,-98.21,19.03
"Torre Real Once, Centro Empresarial,",Lima,PE,-77.04,-12.1
4900 27th Street,Vernon,CA,-119.27,50.28
"Nicaragua 6045, CABA",Buenos Aires,AR,-58.44,-34.58
"535A CLEMENTI ROAD,blk C,C01-04",Singapore,SG,103.78,1.33
沌口经济开发区,武汉市,CN,114.16,30.51
"Av. Cabildo 3500, esq. Juana Azurduy",Buenos Aires,AR,-58.47,-34.55
上海市浦东新区,上海市,CN,121.52,31.23
Majidiye,Beirut,LB,35.51,33.9
上海市浦东新区,上海市,CN,121.56,31.21
上海市黄浦区,上海市,CN,121.47,31.21
Av Pedro Sainz de Barranda s/n  esq.,CAMPECHE,MX,-90.52,19.86
朝阳区,北京市,CN,116.46,39.93
Ahmet Yesevi Mh. Sanayi Cd.,Bursa,TR,28.95,40.27
Subnade 1 Kabukicho,Shinjuku-ku,JP,139.7,35.69
Galerie marchande de la Grande Arche,Puteaux,FR,2.24,48.89
2008-1 Shimokasuya,Isehara,JP,139.32,35.41
"1407 U-dong, Haeundae-gu",Busan,KR,129.14,35.16
1610 Ness Avenue,Winnipeg,CA,-97.21,49.88
"No. 2, Yude Road",Taichung City,TW,120.74,24.26
2-3 Sakuragicho Omiya-ku,330-9501,JP,139.62,35.91
G/F The 30th Mall,Pasig City,PH,121.06,14.57
"No.83, Chaofu Rd.",Taichung City,TW,120.64,24.17
666-2 Nitonacho Chuo-ku,Chiba,JP,140.16,35.58
"1, Q House Lumpini Building",Sathorn,TH,100.54,13.73
"8 Marta street, 46",Yekaterinburg,RU,60.6,56.83
海港区,秦皇岛,CN,119.58,39.95
1-100 Hachibancho Koshien,Nishinomiya,JP,135.36,34.72
江苏省苏州昆山市,昆山市,CN,120.98,31.4
湖里区,厦门市,CN,118.13,24.53
SCS-Strasse,Vosendorf,AT,16.32,48.11
"No. 112, Sec. 1, Nankan Road",Lujhu Township,TW,121.29,25.05
11660-11688 Steveston Hwy,Richmond,CA,-123.09,49.13
Jalan Pantai Kuta Br Pande Mas,Denpasar,ID,115.17,-8.72
37 Symonds Street Unit G01,Auckland,NZ,174.77,-36.85
Zhongshan N. Rd.,Kaohsiung City,TW,120.3,22.79
"Presnenskaya nab., 2",Moscow,RU,37.54,55.75
金山区,上海市,CN,121.32,30.84
2-394 Okuwa,Kanazawa,JP,136.68,36.53
和平区,沈阳市,CN,123.43,41.78
748 정우빌딩 1층,대전,KR,127.39,36.35
"Krylatsakaya street, 17/3",Moscow,RU,37.42,55.77
长安镇农发区,海宁市,CN,120.38,30.34
"Venizelou Street & Minoos Street, Crete",Heraklion,GR,25.12,35.34
"No. 181, Sec. 2, Changrong Road",Tainan City,TW,120.22,22.99
江宁区,南京市,CN,119.05,32.03
302 Tiong Buhru Road,Singapore,SG,103.83,1.29
Bahnhofsplatz 1,Mainz,DE,8.26,50
2-3-1 Kichijojihoncho,Musashino,JP,139.58,35.71
Carracci n. 3 esq. Av. Patriotismo,Mexico DF,MX,-99.18,19.41
Quirino Highway,Quezon City,PH,121.06,14.74
Calle 69 A No. 5 - 08,BOGOTA DC,CO,-74.06,4.65
295 Western Bank,Sheffield,GB,-1.49,53.38
شارع سالم صباح السالم الصباح,مدينة الكويت,KW,48.14,29.12
浦东新区,上海市,CN,121.56,31.23
"Michoacan #139, esq. Cuautla",Mexico City,MX,-99.17,19.41
Gursel Mah. Atiye Sok. No:1,Istanbul,TR,28.98,41.07
Aztec West,Almondsbury,GB,-2.57,51.54
"Manas Bulvari Adalet Mahallesi 4007 ada,",Izmir,TR,27.18,38.45
金水区,郑州市,CN,113.71,34.76
"616-5, 6 Samjeong-dong",Gimhae-si,KR,128.53,35.13
"88 High Road, Ilford",Ilford,GB,0.07,51.56
2-1-1 Tenjin Chuo-ku,Fukuoka,JP,130.4,33.59
"246-6, Sawoodong, Gimpos",Gimpo,KR,126.43,37.37
Melchor Ocampo n.453 Col. Anzures,MEXICO,MX,-99.18,19.42
Mesaimeer Road,Abu Hamour,QA,51.5,25.23
"Asiatown IT Park, Lahug",Cebu City,PH,123.91,10.33
مخرج 9-طريق الدائرى الشرقى,الرياض,SA,46.73,24.78
Unit RU11 Bouviere Place,Folkestone,GB,1.18,51.08
姑苏区,苏州市,CN,120.6,31.26
Blvd. Culiacan No. 450,Culiacan,MX,-107.41,24.8
"Whinfell Forest, Sports Plaza",Penrith,GB,-2.74,54.6
柳南区,柳州,CN,109.39,24.29
"Av. Guilherme Campos, 500",Campinas,BR,-47.06,-22.85
Pedro Teixeira 8,Madrid,ES,-3.69,40.46
Traversgatan 12,Vasteras,SE,16.46,59.62
鄞州区,宁波市,CN,121.55,29.8
Jl. Kemang Raya 12,Jakarta,ID,106.81,-6.26
长宁区福泉北路388号,上海市,CN,121.36,31.23
"Calle 30 n. 185, Col. San Ramon Norte",Merida,MX,-89.62,21.04
188-1 Ekimaecho,Himeji,JP,134.69,34.83
"47-7 Myungil-dong,Gangdong-gu",Seoul,KR,127.16,37.55
"M4 Motorway, Junction 14/15",Hungerford,GB,-1.56,51.48
Suvari Caddesi No: 45/A ?zmir,Izmir,TR,27.21,38.46
Zhangjian Avenue&Nanhai Road,Nantong,CN,121.17,31.88
Westfield Chartwell Shopping Centre,Hamilton,NZ,175.28,-37.76
"354-1, Sinbu-dong, dongnam-gu",Cheonan,KR,127.16,36.82
"44 Soi Sukhumvit 71,Ramkhamhaeng rd.",Bangkok,TH,100.6,13.74
Genova 27,Madrid,ES,-3.69,40.43
上海市闵行区,上海市,CN,121.31,31.2
52-7 Kawasakicho Chuo-ku,Chiba,JP,140.12,35.59
珠江新城华利路46-52号,广州市,CN,113.32,23.12
Ramintra Road,Bangkok,TH,100.63,13.86
"Rua Marques de Sao Vicente, 52, 1o piso",Rio de Janeiro,BR,-43.23,-22.98
1000 San Juan Blvd. Space #127A,San Juan,PR,-66.01,18.4
2-5-1 Shin-yokohama Kohoku-ku,Yokohama,JP,139.62,35.51
"No.115, Jingye 2nd Rd",Taipei City,TW,121.55,25.08
"Shop 247, Level 2, Moko 193 Prince Edward Rd West",Hong Kong,CN,114.17,22.32
雨花区,长沙市,CN,112.99,28.17
1855 Burrard Street,Vancouver,CA,-123.15,49.27
椒江区,台州市,CN,121.41,28.65
31 Dudley Street,Wolverhampton,GB,-2.13,52.58
"A483/A539,  Wrexham Bypass",Wrexham,GB,-3.03,53.03
"G/F, Auditoria Building",Kowloon,CN,114.17,22.29
沙坪坝区,重庆市,CN,106.46,29.56
南山区,深圳市,CN,113.92,22.49
6301 Silver Dart Drive,Mississauga,CA,-79.62,43.68
2-10-1 Osaki,Shinagawa-ku,JP,139.73,35.62
"Super Avenida Lomas Verdes 1200, Fracc.",Mexico City,MX,-99.27,19.51
秦淮区,南京市,CN,118.79,32.01
3-2-5 Kojimachi,Chiyoda-ku,JP,139.74,35.68
Motorway Services Area M6,Corley,GB,-1.55,52.47
Paz 44,Valencia,ES,-0.38,39.48
5000 Highway #7 East,Markham,CA,-79.29,43.87
宝山区,上海市,CN,121.45,31.34
54 스페이스본 109-110호,서울,KR,126.97,37.58
黄浦区,上海市,CN,121.47,31.23
"No 23, Sec 2, Sanmin Rd, Banqiao Dist",New Taipei City,TW,121.48,25.02
1355 Kingston Road W. P.O. Box 48;,Pickering,CA,-79.09,43.84
Istiklal Cad. NO 18,Istanbul,TR,28.98,41.04
浙江省台州市,台州市,CN,121.44,28.67
281-4 Jinraku,Yamatotakada,JP,135.74,34.53
"402-56 Sipjeong-Dong, Bupyeong-Gu",Incheon,KR,126.7,37.47
"Yas Island, Abu Dhabi",Abu Dhabi,AE,54.47,24.41
UP North Retail Science Tech Center,Quezon City,PH,121.06,14.66
